"delivery_id","carrier_name","region_name","delivery_date","delivery_start_time","delivery_end_time","delivery_duration_minutes","delivery_status","delivery_address_street","delivery_address_city","delivery_address_state","delivery_address_postal_code","delivery_address_country","package_weight_kg","package_volume_m3","recipient_signature_collected","delivery_delay_reason"
"NYC_EXP_001","SwiftExpress","New York City","2024-04-10","2024-04-10T08:10:00","2024-04-10T08:45:00","35","completed","245 Madison Ave","New York","NY","10016","USA","2.4","0.018","true",""
"LDN_JET_002","ParcelJet","London Central","2024-04-11","2024-04-11T09:30:00","2024-04-11T10:00:00","30","completed","15 Piccadilly","London","England","W1J 0DG","UK","3.1","0.025","true",""
"SF_GO_003","GoLogistics","San Francisco Bay","2024-04-12","2024-04-12T11:25:00","2024-04-12T11:52:00","27","completed","500 Market St","San Francisco","CA","94105","USA","2.9","0.021","true",""
"BER_CARGO_004","BlueCargo","Berlin Mitte","2024-04-13","2024-04-13T10:50:00","2024-04-13T11:30:00","40","completed","12 Friedrichstrasse","Berlin","BE","10117","DE","1.8","0.015","true",""
"TYO_EXP_005","SwiftExpress","Tokyo Shibuya","2024-04-13","2024-04-13T14:05:00","2024-04-13T15:00:00","55","completed","3-15 Dogenzaka","Tokyo","13","150-0043","JP","4.2","0.032","true",""
"SYD_JET_006","ParcelJet","Sydney CBD","2024-04-14","2024-04-14T09:45:00","2024-04-14T10:13:00","28","completed","101 George St","Sydney","NSW","2000","AU","3.7","0.023","true",""
"MUM_GO_007","GoLogistics","Mumbai South","2024-04-14","2024-04-14T08:30:00","2024-04-14T09:05:00","35","completed","92 Marine Drive","Mumbai","MH","400002","IN","2.5","0.016","true",""
"PAR_CARGO_008","BlueCargo","Paris 8e","2024-04-15","2024-04-15T10:10:00","2024-04-15T10:56:00","46","completed","41 Rue La Boétie","Paris","IDF","75008","FR","1.6","0.014","true",""
"JHB_EXP_009","SwiftExpress","Johannesburg Sandton","2024-04-15","2024-04-15T11:20:00","2024-04-15T12:05:00","45","completed","24 Maude St","Johannesburg","GP","2196","ZA","2.7","0.019","true",""
"TOR_JET_010","ParcelJet","Toronto Downtown","2024-04-16","2024-04-16T13:45:00","2024-04-16T14:25:00","40","completed","350 King St W","Toronto","ON","M5V 3X1","CA","4.1","0.029","true",""
"MEX_GO_011","GoLogistics","Mexico City Centro","2024-04-16","2024-04-16T08:05:00","2024-04-16T08:38:00","33","completed","12 Av. Juárez","Mexico City","CDMX","06010","MX","2.2","0.017","true",""
"SG_CARGO_012","BlueCargo","Singapore Orchard","2024-04-17","2024-04-17T10:40:00","2024-04-17T11:15:00","35","completed","391 Orchard Rd","Singapore","SG","238872","SG","3.3","0.022","true",""
"DXB_EXP_013","SwiftExpress","Dubai Downtown","2024-04-17","2024-04-17T15:00:00","2024-04-17T15:45:00","45","completed","1 Sheikh Mohammed Blvd","Dubai","DU","00000","AE","1.9","0.013","true",""
"MAD_JET_014","ParcelJet","Madrid Centro","2024-04-18","2024-04-18T12:20:00","2024-04-18T12:55:00","35","completed","16 Calle Mayor","Madrid","MD","28013","ES","2.1","0.015","true",""
"MOS_GO_015","GoLogistics","Moscow Tverskaya","2024-04-18","2024-04-18T10:00:00","2024-04-18T10:32:00","32","completed","22 Tverskaya St","Moscow","MOW","125009","RU","1.4","0.012","true",""
"SP_CARGO_016","BlueCargo","São Paulo Centro","2024-04-19","2024-04-19T09:15:00","2024-04-19T09:45:00","30","completed","101 Av. Paulista","São Paulo","SP","01311-200","BR","2.8","0.02","true",""
"DUB_EXP_017","SwiftExpress","Dublin South","2024-04-20","2024-04-20T08:55:00","2024-04-20T09:35:00","40","completed","88 St Stephen's Green","Dublin","Leinster","D02 XY43","IE","3.5","0.019","true",""
"AK_JET_018","ParcelJet","Rural Alaska","2024-04-20","2024-04-20T07:00:00","2024-04-20T08:20:00","80","delayed","14 Creekside Rd","Fairbanks","AK","99701","USA","2.3","0.017","false","Extreme weather conditions"
"HAM_GO_019","GoLogistics","Hamburg Hafen","2024-04-21","2024-04-21T11:40:00","2024-04-21T12:40:00","60","delayed","20 Hafenstrasse","Hamburg","HH","20457","DE","3.6","0.023","false","Traffic congestion"
"OSL_CARGO_020","BlueCargo","Oslo Sentrum","2024-04-22","2024-04-22T09:10:00","2024-04-22T10:45:00","95","delayed","5 Karl Johans gate","Oslo","03","0154","NO","4.9","0.035","false","Vehicle breakdown"
"KIG_EXP_021","SwiftExpress","Kigali CBD","2024-04-23","2024-04-23T10:00:00","2024-04-23T10:50:00","50","delayed","12 KN 4 Ave","Kigali","KV","RW-011","RW","2.7","0.021","false","Recipient unavailable"
"ROM_JET_022","ParcelJet","Rome Centro","2024-04-24","2024-04-24T13:10:00","2024-04-24T14:05:00","55","delayed","23 Via del Corso","Rome","RM","00186","IT","3.8","0.025","false","Traffic congestion"
"DEL_GO_023","GoLogistics","Delhi Connaught","2024-04-25","2024-04-25T09:10:00","2024-04-25T09:55:00","45","delayed","B-24 Connaught Place","Delhi","DL","110001","IN","2.2","0.015","false","Recipient unavailable"
"MEL_CARGO_024","BlueCargo","Melbourne CBD","2024-04-25","2024-04-25T08:40:00","2024-04-25T09:28:00","48","delayed","101 Collins St","Melbourne","VIC","3000","AU","3.4","0.018","false","Extreme weather conditions"
"CHI_EXP_025","SwiftExpress","Chicago Loop","2024-04-26","2024-04-26T11:35:00","2024-04-26T11:55:00","20","completed","233 S Wacker Dr","Chicago","IL","60606","USA","0.8","0.008","false",""
"MAN_JET_026","ParcelJet","Manchester Piccadilly","2024-04-27","2024-04-27T10:10:00","2024-04-27T10:28:00","18","completed","45 Whitworth St","Manchester","England","M1 3NR","UK","0.5","0.006","false",""
"VAN_GO_027","GoLogistics","Vancouver Downtown","2024-04-28","2024-04-28T09:50:00","2024-04-28T10:05:00","15","completed","800 Granville St","Vancouver","BC","V6Z 1K3","CA","0.7","0.005","false",""
"SHA_CARGO_028","BlueCargo","Shanghai Pudong","2024-04-29","2024-04-29T13:30:00","2024-04-29T14:00:00","30","completed","8 Century Ave","Shanghai","SH","200120","CN","2.6","0.017","false",""
"BRU_EXP_029","SwiftExpress","Brussels Centre","2024-04-30","2024-04-30T10:10:00","2024-04-30T10:34:00","24","completed","52 Rue Royale","Brussels","BRU","1000","BE","0.9","0.009","false",""
"AMS_JET_030","ParcelJet","Amsterdam Centrum","2024-05-01","2024-05-01T09:25:00","2024-05-01T09:47:00","22","completed","10 Damrak","Amsterdam","NH","1012 LG","NL","0.6","0.006","false",""
"BOM_GO_031","GoLogistics","Bombay Fort","2024-05-02","2024-05-02T08:30:00","2024-05-02T08:54:00","24","completed","110 DN Road","Mumbai","MH","400001","IN","1.2","0.007","false",""
"SYR_CARGO_032","BlueCargo","Syracuse Eastwood","2024-05-03","2024-05-03T11:45:00","2024-05-03T12:00:00","15","completed","401 James St","Syracuse","NY","13203","USA","0.3","0.003","false",""
"RIO_EXP_033","SwiftExpress","Rio de Janeiro Centro","2024-05-04","2024-05-04T10:20:00","2024-05-04T10:50:00","30","completed","18 Av. Rio Branco","Rio de Janeiro","RJ","20090-001","BR","1.4","0.011","false",""
"KOL_JET_034","ParcelJet","Kolkata Park St","2024-05-05","2024-05-05T09:10:00","2024-05-05T09:35:00","25","completed","7 Park Street","Kolkata","WB","700016","IN","1.1","0.008","false",""
"LAG_GO_035","GoLogistics","Lagos Victoria Isl","2024-05-06","2024-05-06T14:20:00","2024-05-06T14:55:00","35","completed","77 Ahmadu Bello Way","Lagos","LA","101241","NG","2.3","0.017","true",""
"IST_CARGO_036","BlueCargo","Istanbul Beyoglu","2024-05-07","2024-05-07T10:20:00","2024-05-07T10:50:00","30","completed","14 Istiklal Cd","Istanbul","34","34437","TR","2","0.016","true",""
