order_id,distance_km,traffic_level,weather_severity,delivery_time_window_min,driver_experience_years,vehicle_load_kg,previous_failures,delivery_failed
1,15.61,1,2,74,0,56.8,0,0
2,38.08,1,1,87,2,39.7,0,0
3,29.55,1,2,60,14,139.9,0,0
4,24.35,5,1,52,13,125.5,3,1
5,7.08,4,2,199,4,128.5,0,0
6,7.08,5,2,167,4,49.6,2,1
7,3.27,4,2,189,8,50.4,4,1
8,34.78,5,3,136,9,48.1,2,1
9,24.44,5,3,210,13,38.9,0,1
10,28.61,3,0,187,11,132.9,2,0
11,1.8,5,0,68,1,170.4,0,0
12,38.83,2,1,188,1,146.2,3,0
13,33.47,3,3,111,5,159.5,2,1
14,9.28,5,1,129,14,83.9,3,1
15,8.09,1,0,31,8,132.5,3,0
16,8.15,2,1,235,0,74.1,1,0
17,12.87,2,0,106,8,107.5,0,0
18,21.47,2,3,41,8,98.9,4,1
19,17.85,3,2,68,12,39.5,0,0
20,12.36,5,3,223,8,80.5,4,1
21,24.86,5,1,42,4,192.9,0,0
22,6.44,1,1,75,12,53.5,3,0
23,12.39,1,3,184,14,31.1,2,0
24,15.29,2,3,142,8,86.6,2,0
25,18.79,1,0,46,10,159.1,1,0
26,31.62,3,1,133,3,118.5,4,1
27,8.79,5,1,127,1,137.8,4,1
28,21.06,2,3,217,12,42.0,4,1
29,24.1,1,2,221,5,125.7,3,0
30,2.81,3,1,117,13,68.1,4,0
31,24.69,3,2,138,3,167.7,2,0
32,7.65,1,3,192,5,127.7,3,0
33,3.54,5,3,99,2,43.8,0,0
34,38.01,1,0,187,5,17.6,4,0
35,38.66,2,1,228,1,13.3,4,1
36,32.53,1,2,103,1,77.4,0,0
37,12.88,3,0,92,12,56.8,4,0
38,4.81,1,1,185,8,131.0,0,0
39,27.69,5,0,89,6,102.4,3,0
40,18.17,4,3,108,2,56.9,2,1
41,5.76,1,1,66,12,34.1,0,0
42,20.31,5,0,51,10,29.8,1,0
43,2.34,5,0,225,0,173.6,0,0
44,36.46,3,2,177,7,52.5,4,1
45,11.09,5,0,125,13,132.1,3,0
46,26.84,5,1,97,5,163.1,3,1
47,13.16,5,1,221,6,124.7,0,0
48,21.28,5,2,46,8,172.6,2,1
49,22.32,2,1,41,4,81.5,1,0
50,8.21,2,3,179,14,191.5,3,1
51,38.81,3,1,174,0,31.0,4,1
52,31.23,1,1,167,11,24.9,4,0
53,37.64,5,0,147,9,133.4,2,0
54,35.9,1,0,222,6,188.9,3,0
55,24.32,1,1,51,14,162.7,0,0
56,36.95,3,2,149,4,19.9,4,1
57,4.45,5,0,239,2,59.5,2,0
58,8.64,5,2,79,11,186.4,3,1
59,2.76,4,1,43,12,54.3,3,0
60,13.69,1,1,221,8,157.3,3,0
61,16.16,1,3,204,0,165.9,3,1
62,11.58,2,0,58,0,101.6,3,0
63,33.32,4,1,233,0,80.3,4,1
64,14.91,2,3,193,2,92.8,2,0
65,11.96,2,0,209,11,49.3,3,0
66,22.17,2,1,154,5,178.4,1,0
67,6.5,3,1,233,9,92.9,1,0
68,32.29,3,0,36,10,177.1,2,0
69,3.91,2,0,58,2,25.6,0,0
70,39.49,4,0,168,7,197.7,0,0
71,31.12,1,1,62,13,91.4,0,0
72,8.75,4,1,163,13,14.3,1,0
73,1.22,5,3,140,9,12.4,0,0
74,32.8,3,2,108,1,150.5,4,1
75,28.57,1,0,189,13,133.5,3,0
76,29.43,1,1,208,8,161.4,1,0
77,31.08,5,1,232,2,25.5,2,1
78,3.89,5,0,87,4,11.9,2,0
79,14.98,2,2,55,9,104.2,3,0
80,5.52,3,0,203,7,80.6,1,0
81,34.66,3,2,58,1,95.1,0,0
82,25.31,4,1,33,5,198.4,0,0
83,13.91,2,2,238,11,194.3,4,1
84,3.48,2,3,128,4,188.8,4,1
85,13.13,2,1,170,12,157.8,0,0
86,13.68,2,3,68,9,74.2,2,0
87,29.45,3,0,44,8,85.4,2,0
88,25.86,3,0,148,11,112.2,4,0
89,35.6,2,0,58,4,167.0,3,0
90,19.42,4,2,186,1,18.4,0,0
91,5.66,1,1,104,4,87.7,4,0
92,28.82,1,0,145,14,21.1,4,0
93,30.67,4,0,61,11,105.4,0,0
94,22.89,2,1,159,3,180.3,0,0
95,31.07,3,0,204,14,157.6,2,0
96,20.26,1,3,235,10,49.4,3,1
97,21.39,5,1,113,6,195.3,3,1
98,17.67,5,1,51,5,135.1,0,0
99,1.99,4,1,232,13,7.0,1,0
100,5.21,2,3,56,1,54.8,4,1
101,2.23,1,1,224,11,55.8,4,0
102,25.82,2,3,110,10,18.5,0,0
103,13.26,1,1,155,10,192.2,1,0
104,20.83,4,2,213,12,98.3,2,1
105,36.4,4,0,121,4,179.7,0,0
106,10.72,5,2,50,6,67.8,0,0
107,17.0,2,0,76,10,29.4,4,0
108,30.47,5,3,237,6,97.5,0,1
109,9.92,2,2,130,14,27.2,0,0
110,4.0,5,1,216,4,99.8,0,0
111,12.3,3,0,113,11,184.5,4,0
112,7.29,3,0,35,14,106.5,2,0
113,37.26,3,2,176,8,125.2,2,1
114,32.52,3,3,214,3,35.5,0,0
115,25.7,1,2,226,10,13.5,4,1
116,34.99,3,3,160,2,26.6,2,1
117,32.34,4,3,30,14,121.7,2,1
118,8.28,4,0,87,3,23.5,2,0
119,35.81,1,2,153,4,78.3,4,1
120,22.03,3,2,195,12,112.3,4,1
121,32.49,3,3,44,5,80.8,0,0
122,35.95,3,2,191,2,36.9,3,1
123,13.4,5,1,218,1,58.4,2,0
124,5.29,2,1,192,13,186.0,3,0
125,9.89,5,2,93,12,136.8,4,1
126,17.66,2,2,54,3,101.7,4,1
127,32.9,3,3,53,4,7.5,4,1
128,34.57,3,1,41,3,198.5,3,0
129,1.27,5,1,47,13,135.9,4,1
130,20.92,5,0,44,10,66.8,0,0
131,17.28,2,3,237,12,176.5,4,1
132,9.66,4,0,56,14,55.4,1,0
133,5.67,2,1,101,11,111.1,3,0
134,14.17,5,3,89,2,129.0,1,1
135,37.77,5,2,203,7,48.1,4,1
136,13.6,1,3,174,9,195.8,0,0
137,21.23,5,2,122,3,150.9,2,1
138,28.42,1,2,82,13,113.8,4,1
139,15.18,4,3,37,1,40.2,0,0
140,38.9,2,2,108,1,15.5,3,1
141,38.54,2,0,56,0,67.4,1,0
142,10.82,1,1,203,12,151.9,1,0
143,20.39,2,2,79,3,57.5,1,0
144,12.73,5,0,228,9,110.2,3,0
145,12.11,3,2,160,8,146.9,0,0
146,2.44,1,1,122,13,26.0,3,0
147,24.77,2,0,221,10,138.6,1,0
148,20.6,1,1,201,6,22.9,4,0
149,3.01,1,1,210,14,193.2,2,0
150,11.87,3,0,53,11,100.2,3,0
151,36.42,5,0,89,9,34.4,3,1
152,10.34,1,0,151,6,71.8,0,0
153,6.65,2,3,160,12,85.6,0,0
154,20.09,4,0,177,14,152.8,3,0
155,39.44,1,0,75,6,150.0,1,0
156,10.44,1,0,44,14,124.3,2,0
157,27.21,3,0,182,7,25.7,0,0
158,30.7,5,2,235,0,34.6,1,1
159,10.27,4,3,228,9,23.3,4,1
160,29.4,2,1,46,12,117.5,0,0
161,15.34,4,0,155,9,176.0,1,0
162,25.66,2,2,113,7,89.6,1,0
163,25.71,5,2,38,3,36.4,2,1
164,21.9,2,2,195,3,113.8,2,0
165,4.52,3,1,205,3,163.3,4,0
166,33.58,3,0,217,5,149.6,1,0
167,13.51,3,3,92,6,176.9,1,0
168,8.27,3,3,146,5,59.2,2,1
169,2.59,4,2,159,0,42.8,0,0
170,24.04,5,1,117,11,176.6,0,0
171,27.43,2,1,101,7,133.2,3,0
172,1.65,2,1,168,12,65.6,2,0
173,20.97,3,3,93,9,149.8,3,1
174,9.83,3,2,234,14,163.9,2,0
175,26.16,1,0,238,10,124.9,4,0
176,7.8,5,3,101,12,139.1,1,1
177,27.95,4,2,50,6,78.2,4,1
178,16.08,2,2,47,5,110.0,2,0
179,37.53,1,0,93,5,107.2,1,0
180,6.36,1,0,111,4,170.4,0,0
181,14.3,2,0,139,5,168.8,0,0
182,5.43,4,1,124,11,167.4,3,0
183,37.06,1,0,195,8,7.2,2,0
184,35.22,1,2,61,9,151.2,2,0
185,11.06,5,0,40,8,152.9,0,0
186,26.74,4,2,74,14,137.3,4,1
187,32.87,1,3,62,9,152.5,1,0
188,22.65,4,1,131,7,169.2,4,1
189,21.66,2,3,198,9,96.7,4,1
190,10.43,3,3,165,8,102.9,0,0
191,4.63,1,2,40,12,29.3,0,0
192,35.99,5,3,208,9,80.1,0,1
193,36.12,2,2,117,7,130.5,3,1
194,25.69,4,0,70,7,157.2,4,1
195,14.22,2,0,174,0,47.4,2,0
196,14.62,1,2,105,9,31.9,1,0
197,29.31,4,0,150,10,134.3,3,0
198,35.99,3,1,75,4,5.4,2,0
199,35.6,2,3,189,3,39.8,4,1
200,31.42,1,1,236,1,10.7,0,0
201,26.04,5,3,109,7,37.5,4,1
202,4.28,4,0,83,2,40.4,1,0
203,7.3,2,1,115,3,80.6,3,0
204,36.04,2,0,121,11,83.5,3,0
205,24.65,3,3,177,6,175.5,1,0
206,1.36,3,2,190,9,104.5,2,0
207,4.96,5,2,231,8,146.1,2,1
208,26.88,5,1,197,1,25.3,3,1
209,1.2,1,0,189,2,49.0,3,0
210,7.27,1,0,126,3,142.1,0,0
211,22.4,5,1,31,9,15.3,2,1
212,27.98,5,2,62,0,99.9,1,1
213,26.43,4,3,234,6,121.9,2,1
214,9.75,3,1,187,1,122.4,0,0
215,28.77,1,3,190,4,9.5,3,1
216,10.25,3,2,106,14,67.8,3,1
217,13.69,3,0,145,0,129.1,0,0
218,30.11,5,2,183,2,34.1,1,1
219,26.34,4,1,179,11,140.6,3,1
220,34.12,2,0,132,1,150.5,4,0
221,26.65,4,1,223,0,196.5,3,1
222,23.16,4,1,195,6,45.9,4,1
223,4.65,3,2,132,4,165.9,0,0
224,15.34,4,1,119,0,106.5,0,0
225,11.34,1,2,203,5,77.8,3,0
226,10.52,3,0,151,4,28.9,2,0
227,38.95,1,2,172,14,148.4,4,1
228,16.33,2,0,135,2,51.0,1,0
229,35.79,3,2,148,11,77.4,3,1
230,25.61,2,3,201,6,17.2,1,0
231,32.0,3,3,78,10,161.3,3,1
232,20.6,5,1,133,9,154.5,2,0
233,23.5,4,2,232,8,148.1,2,1
234,20.21,5,2,90,13,63.4,2,1
235,8.61,2,0,224,12,38.8,2,0
236,29.18,4,1,152,12,129.3,0,0
237,11.95,3,2,163,8,101.8,0,0
238,1.95,4,1,38,13,39.8,4,1
239,26.17,1,3,35,8,138.8,1,0
240,7.91,4,2,102,1,198.3,3,1
241,37.68,1,2,132,2,150.7,3,0
242,38.2,4,1,189,6,149.3,0,0
243,36.68,1,2,70,4,190.3,3,0
244,15.44,2,1,143,1,44.6,0,0
245,1.6,5,2,233,2,115.3,4,1
246,37.2,3,0,37,9,196.0,1,0
247,17.7,4,1,101,5,37.2,4,1
248,38.7,5,2,207,12,141.5,2,1
249,38.58,3,3,121,6,119.2,2,1
250,34.27,3,2,91,8,119.4,2,0
251,12.48,1,3,113,0,141.0,4,1
252,16.02,2,3,91,10,186.3,3,1
253,34.19,2,0,140,6,157.6,1,0
254,13.36,5,1,156,7,15.9,2,0
255,7.61,2,2,36,11,171.3,2,0
256,22.72,4,0,232,13,49.0,2,0
257,37.51,2,2,113,2,78.5,1,0
258,28.15,5,3,237,3,95.0,2,1
259,23.23,2,1,161,9,98.8,1,0
260,4.79,4,2,163,5,89.9,2,0
261,24.99,1,2,87,9,187.8,4,1
262,39.61,5,3,51,6,142.7,4,1
263,6.46,1,2,183,12,128.1,1,0
264,21.21,1,2,156,13,14.7,4,1
265,35.22,1,3,32,3,181.3,1,0
266,29.89,3,0,156,7,182.3,4,0
267,28.18,3,3,70,4,157.1,4,1
268,28.4,1,0,217,0,6.4,1,0
269,15.02,5,1,135,3,16.2,3,1
270,12.45,4,0,43,2,48.9,4,0
271,32.57,4,0,232,8,30.6,2,0
272,32.59,2,1,239,7,82.8,3,0
273,34.82,5,0,41,0,184.9,1,0
274,36.62,3,3,116,10,97.1,3,1
275,20.94,1,0,41,5,7.6,0,0
276,20.56,2,1,170,8,60.1,0,0
277,32.13,4,3,54,6,13.7,4,1
278,26.35,3,1,74,3,12.1,4,1
279,28.38,3,1,151,12,58.8,2,0
280,32.04,1,2,176,0,58.7,3,0
281,35.71,4,2,84,11,158.5,0,0
282,14.18,5,1,129,1,195.1,4,1
283,15.65,3,1,202,11,77.4,3,0
284,4.67,1,1,165,4,88.6,4,0
285,23.55,5,2,148,11,169.7,4,1
286,2.4,4,2,82,10,57.3,0,0
287,19.16,3,0,212,4,35.5,0,0
288,22.16,5,0,61,7,171.4,4,1
289,12.18,5,1,80,5,14.1,1,0
290,24.04,5,3,73,7,125.8,4,1
291,2.19,3,3,111,1,114.6,4,1
292,2.46,3,2,227,2,72.5,2,0
293,33.08,2,2,175,5,66.5,2,0
294,15.05,4,2,179,11,155.5,2,1
295,5.96,1,1,66,12,21.9,1,0
296,21.37,5,3,125,9,51.2,1,1
297,31.03,2,0,85,2,147.8,4,0
298,9.42,1,1,134,5,111.9,2,0
299,25.29,2,0,88,5,30.0,1,0
300,4.33,3,0,160,1,177.0,0,0
301,3.02,5,1,185,6,81.7,4,1
302,21.72,1,0,231,11,166.4,3,0
303,22.08,1,3,64,1,158.6,4,1
304,25.86,1,0,218,5,126.8,3,0
305,29.32,1,3,122,0,101.4,2,0
306,39.06,1,3,211,2,196.0,3,1
307,21.14,2,3,220,1,33.3,2,1
308,13.6,5,2,236,6,146.4,0,0
309,32.01,3,0,126,13,42.3,3,0
310,11.56,3,1,164,3,71.0,4,1
311,18.12,3,1,105,7,65.2,2,0
312,4.06,3,0,78,5,189.7,4,0
313,1.99,2,2,123,11,193.6,1,0
314,38.54,4,2,188,9,40.7,2,1
315,33.6,5,3,215,3,9.3,3,1
316,28.14,1,0,218,4,145.4,2,0
317,16.95,4,0,53,12,86.5,4,0
318,7.76,3,1,177,12,22.3,0,0
319,7.1,4,0,66,14,138.3,2,0
320,10.76,5,2,33,14,111.3,3,1
321,22.42,1,0,137,8,196.2,1,0
322,28.87,1,1,155,6,49.3,0,0
323,26.75,5,3,49,9,83.8,1,1
324,11.92,5,1,217,13,110.8,2,0
325,38.24,3,1,181,13,159.4,4,1
326,29.78,1,3,79,8,112.0,4,1
327,22.62,4,1,206,6,124.5,3,1
328,24.86,2,1,208,11,49.1,4,0
329,17.36,2,0,125,0,170.1,0,0
330,10.66,5,0,134,11,88.6,4,1
331,14.88,3,3,193,7,32.5,3,1
332,30.56,2,0,146,3,134.5,2,0
333,1.56,1,0,127,2,47.1,2,0
334,5.53,5,1,95,13,24.0,4,1
335,2.79,4,2,108,12,173.1,1,0
336,2.59,5,0,191,6,94.7,2,0
337,34.36,4,2,193,11,151.1,4,1
338,28.44,5,0,35,2,61.7,3,1
339,19.49,5,0,68,7,158.5,4,1
340,4.82,5,3,199,5,26.8,2,1
341,20.17,4,3,144,4,74.4,3,1
342,19.47,4,3,215,3,195.7,4,1
343,7.75,5,2,154,7,159.8,0,0
344,17.92,2,1,41,7,102.0,3,0
345,16.54,3,0,160,11,71.3,0,0
346,25.02,3,0,47,0,175.1,1,0
347,25.77,3,0,69,8,111.2,3,0
348,2.77,4,2,50,13,152.9,0,0
349,15.61,4,3,172,4,152.1,2,1
350,25.41,2,1,128,3,8.5,2,0
351,20.62,3,2,55,5,29.6,1,0
352,34.4,3,3,37,5,133.6,3,1
353,26.69,5,2,129,1,36.5,3,1
354,7.35,4,1,116,7,54.8,3,0
355,3.75,3,3,71,6,189.6,1,0
356,26.05,2,2,201,0,114.2,3,0
357,2.03,2,1,43,4,151.4,2,0
358,23.85,3,0,107,11,113.8,0,0
359,37.67,4,1,31,5,112.7,2,0
360,23.44,2,0,148,3,23.4,2,0
361,16.14,5,2,66,1,72.0,0,0
362,26.09,2,3,98,12,60.1,2,1
363,18.87,1,3,195,13,81.2,1,0
364,22.28,1,2,70,3,160.7,0,0
365,37.72,4,3,91,0,77.5,2,1
366,16.06,3,3,89,6,93.1,4,1
367,38.49,4,0,154,1,82.5,2,0
368,36.31,4,2,140,12,23.2,1,0
369,8.64,4,1,43,1,91.0,3,0
370,3.71,4,0,113,8,43.1,2,0
371,4.93,5,2,159,4,41.4,3,1
372,1.71,5,0,99,1,23.3,4,1
373,4.68,2,1,174,10,74.6,2,0
374,27.64,1,1,152,8,152.7,0,0
375,3.78,4,2,118,8,58.9,3,1
376,13.44,2,1,57,0,65.9,4,0
377,33.95,1,0,95,10,130.3,0,0
378,1.91,3,1,192,2,43.2,0,0
379,32.76,5,0,34,3,179.9,0,0
380,11.99,1,0,222,13,106.4,0,0
381,5.61,3,1,197,6,92.3,2,0
382,28.17,1,2,233,9,113.8,2,0
383,25.53,5,3,213,3,37.4,2,1
384,35.22,5,1,193,1,124.6,4,1
385,29.67,2,0,74,6,75.8,4,0
386,32.34,4,0,180,5,180.0,4,1
387,12.0,1,1,76,2,37.9,1,0
388,7.92,1,2,60,5,103.9,4,0
389,30.27,3,2,168,10,121.6,2,0
390,32.47,5,0,39,14,11.5,2,0
391,39.63,1,0,224,5,75.9,1,0
392,17.09,5,2,147,11,147.9,1,1
393,15.51,1,3,43,4,165.0,4,1
394,31.28,2,1,109,3,66.1,3,0
395,14.29,4,0,231,9,160.7,1,0
396,37.3,1,0,122,11,193.7,0,0
397,34.48,5,2,39,14,172.1,2,1
398,17.73,2,1,105,0,27.9,0,0
399,30.28,1,2,123,9,149.2,2,0
400,30.43,3,1,134,5,67.3,2,0
401,5.02,4,1,30,1,197.7,1,0
402,36.2,1,1,162,12,99.6,1,0
403,20.7,2,0,49,2,28.9,0,0
404,33.23,3,3,37,13,146.4,2,1
405,13.48,2,2,200,7,68.0,0,0
406,35.93,2,3,233,9,199.4,3,1
407,16.18,3,2,30,13,196.1,0,0
408,1.42,2,1,86,13,132.9,4,0
409,36.31,3,0,93,5,30.3,0,0
410,4.56,1,3,147,2,138.9,4,1
411,13.45,3,0,57,6,23.1,4,0
412,38.05,3,2,150,3,10.7,4,1
413,38.07,4,0,136,13,165.5,3,0
414,23.36,3,0,194,8,45.9,0,0
415,25.64,3,3,204,14,78.9,0,0
416,18.49,1,1,233,4,194.8,3,0
417,12.44,4,0,194,2,70.7,2,0
418,13.82,5,1,78,1,62.8,1,0
419,27.23,1,2,149,10,184.1,0,0
420,30.34,1,0,73,1,26.6,1,0
421,31.87,5,3,85,2,153.1,3,1
422,31.8,3,2,185,1,197.7,2,0
423,4.56,2,2,140,13,180.8,2,0
424,20.28,4,3,236,3,132.1,2,1
425,3.24,2,0,163,1,66.2,3,0
426,22.43,5,0,137,9,54.6,4,1
427,18.22,1,2,218,8,164.8,4,0
428,35.62,1,0,177,1,176.6,1,0
429,14.69,4,1,143,8,107.5,4,1
430,5.57,1,3,107,12,52.6,4,1
431,6.58,1,1,159,5,27.0,2,0
432,30.7,4,0,230,0,22.0,2,0
433,25.11,4,2,66,3,145.2,1,0
434,4.94,5,3,49,14,86.9,0,0
435,4.28,1,0,55,13,181.5,1,0
436,28.34,1,0,58,0,149.2,1,0
437,3.84,5,2,30,13,42.3,3,1
438,33.05,3,2,148,5,124.7,3,1
439,28.54,3,1,64,13,89.9,1,0
440,4.17,3,3,227,12,117.6,1,0
441,4.31,5,3,88,3,148.9,1,1
442,39.48,1,2,98,2,162.2,4,1
443,15.6,5,1,190,2,169.5,3,1
444,15.46,5,3,208,8,54.5,1,1
445,32.7,3,2,235,5,11.1,2,0
446,37.94,2,0,41,8,149.2,2,0
447,39.45,1,3,49,12,25.7,4,1
448,30.38,3,1,210,4,66.4,4,1
449,15.67,2,1,72,1,5.7,0,0
450,4.26,2,1,155,7,137.9,0,0
451,31.31,4,0,79,4,37.6,0,0
452,22.78,1,3,58,1,132.8,4,1
453,17.54,2,3,214,3,198.4,4,1
454,36.35,3,0,68,8,19.2,4,0
455,5.34,4,3,213,14,20.0,2,1
456,20.21,1,0,200,3,71.4,4,0
457,1.44,5,0,207,12,173.9,2,0
458,19.28,3,0,180,11,47.0,0,0
459,3.2,2,1,201,11,75.3,0,0
460,5.63,2,3,67,11,18.4,0,0
461,5.58,3,0,113,12,153.8,1,0
462,26.32,2,3,180,14,84.6,1,0
463,30.1,4,1,157,13,153.1,3,1
464,23.75,1,0,155,3,181.2,3,0
465,38.52,4,2,74,1,50.4,3,1
466,15.62,2,1,81,12,162.4,1,0
467,12.14,5,2,109,11,16.5,1,0
468,34.88,1,3,207,14,180.3,3,1
469,9.72,1,3,153,5,131.9,3,0
470,38.57,3,1,148,12,175.5,4,1
471,1.47,3,3,37,10,5.0,3,1
472,38.83,5,2,114,13,38.0,4,1
473,2.68,1,0,158,1,81.0,2,0
474,35.75,5,0,37,11,79.0,1,0
475,21.58,3,0,186,6,49.2,3,0
476,39.73,3,1,125,2,79.4,1,0
477,3.88,1,3,131,14,30.1,1,0
478,22.6,4,2,34,2,85.5,1,0
479,38.8,2,3,115,4,161.5,2,1
480,21.4,3,3,204,2,98.4,0,0
481,25.55,3,3,63,1,8.5,3,1
482,28.13,4,0,222,9,87.2,0,0
483,18.73,4,2,84,8,10.3,0,0
484,25.47,5,2,148,1,193.4,0,0
485,23.79,5,3,200,13,29.9,1,1
486,36.15,2,0,231,10,143.0,4,0
487,2.77,2,0,187,1,194.7,1,0
488,11.96,1,2,143,12,166.1,1,0
489,38.07,5,0,239,14,141.4,0,0
490,35.72,3,0,174,7,168.7,1,0
491,18.77,5,0,55,14,196.5,0,0
492,25.19,3,1,165,8,126.2,4,1
493,11.82,4,3,76,6,114.0,3,1
494,8.34,5,2,142,2,127.5,0,0
495,19.08,4,2,105,8,108.9,4,1
496,14.78,2,1,101,2,128.8,3,0
497,23.76,2,3,118,4,92.7,2,1
498,4.03,1,2,75,8,47.6,0,0
499,39.0,5,0,225,11,28.4,0,0
500,39.46,4,2,62,13,18.3,2,1
